Species,Family,Biol_realm,Growth_form,PFT,Life_history,Leaf_type,Phenology,Photosynthesis,Legume
Andropogon gerardii,Gramineae,Seed,H ,G ,P ,,,C4,N 
Anisomeles ovata,Lamiaceae,Seed,H ,Fo ,P ,,,C3,N 
Anthoxanthum odoratum,Gramineae,Seed,H ,G ,P ,,,C3,N 
Anthyllis vulneraria,Fabaceae,Seed,H ,Fo ,P ,,,C3,L 
Antidesma cuspidatum,Phyllanthaceae ,Seed,W ,T ,,B ,E ,C3,N 
Arctostaphylos alpina,Ericaceae,Seed,W ,S ,,,,C3,N 
Arctostaphylos rubra,Ericaceae ,Seed,W ,S ,,,,C3,N
Aristida longiseta ,Gramineae,Seed,H ,G ,P ,,,C4,N 
Arnica montana,Asteraceae,Seed,H ,Fo ,P ,,,C3,N 
Arrhenatherum elatius,Gramineae,Seed,H ,G ,P ,,,C3,N 
Artemisia adamsii,Asteraceae,Seed,H ,Fo ,P ,,,C3,N 
Artemisia californica,Asteraceae,Seed,W ,S ,,,,C3,N 
Artemisia capillaris,Asteraceae,Seed,H ,Fo ,P ,,,C3,N 
Artemisia frigida,Asteraceae,Seed,H ,Fo ,P ,,,C3,N 
Artemisia lavandulaefolia,Asteraceae,Seed,H ,Fo ,P ,,,C3,N 
Artemisia tridentata,Asteraceae,Seed,W ,S ,,,,C3,N 
Artemisia vulgaris,Asteraceae,Seed,H ,Fo ,P ,,,C3,N 
Asclepias incarnata,Asclepiadaceae,Seed,H ,Fo ,P ,,,C3,N 
Asclepias syriaca,Asclepiadaceae,Seed,H ,Fo ,P ,,,C3,N 
Aster macrophyllus ,Asteraceae,Seed,H ,Fo ,P ,,,C3,N 
Aster spp,Asteraceae,Seed,H ,Fo ,P ,,,C3,N 
Athyrium distentifolium,Athyriaceae,Spore,O ,Fe ,,,,,
Atriplex triangularis,Chenopodiaceae,Seed,H ,Fo ,A ,,,C3,N 
Atylosia marmorata ,Papilionoideae,Seed,H ,Fo ,A ,,,C3,L 
Avena barbata,Gramineae,Seed,H ,G ,A ,,,C3,N 
Avena fatua,Gramineae,Seed,H ,G ,A ,,,C3,N 
Avena nuda,Gramineae,Seed,H ,G ,A ,,,C3,N 
Avena sativa,Gramineae,Seed,H ,G ,A ,,,C3,N 
Avenella flexuosa,Gramineae,Seed,H ,G ,P ,,,C3,N 
Avicennia marina,Verbenaceae,Seed,W ,S ,,,,C3,N 
Axonopus canescens,Gramineae,Seed,H ,G ,P ,,,C4,N 
Axyris amaranthoides,Chenopodiaceae,Seed,H ,Fo ,A ,,,C3,N 
Bassia hyssopifolia,Chenopodiaceae,Seed,H ,Fo ,A ,,,C3,N 
Bauhinia faberi,Fabaceae,Seed,W ,S ,,,,C3,L 
Berberis thunbergii,Berberidaceae,Seed,W ,S ,,,,C3,N
Berteroa incana,Brassicaceae,Seed,H ,Fo ,A ,,,C3,N 
Betula alleghaniensis,Betulaceae,Seed,W ,T ,,B ,D ,C3,N 
Betula glandulosa,Betulaceae,Seed,W ,S ,,,,C3,N 
Betula lenta,Betulaceae,Seed,W ,T ,,B ,D ,C3,N 
Betula nana,Betulaceae,Seed,W ,S ,,,,C3,N 
Betula pendula,Betulaceae,Seed,W ,T ,,B ,D ,C3,N 
Betula platyphylla,Betulaceae,Seed,W ,T ,,B ,D ,C3,N 
Betula populifolia,Betulaceae,Seed,W ,T ,,B ,D ,C3,N 
Betula pubescens,Betulaceae,Seed,W ,T ,,B ,D ,C3,N 
Borago officinalis,Boraginaceae,Seed,H ,Fo ,A ,,,C3,N 
Bossiaea aquifolium,Fabaceae,Seed,W ,T ,,B ,D ,C3,L 
Bothriochloa ischaemum,Gramineae,Seed,H ,G ,P ,,,C4,N 
Bouteloua curtipendula,Gramineae,Seed,H ,G ,P ,,,C4,N 
Bouteloua eriopoda,Gramineae,Seed,H ,G ,P ,,,C4,N 
Bouteloua gracilis,Gramineae,Seed,H ,G ,P ,,,C4,N 
Brachypodium pinnatum,Gramineae,Seed,H ,G ,P ,,,C3,N 
Brachypodium rupestre,Gramineae,Seed,H ,G ,P ,,,C3,N 
Brassica juncea,Brassicaceae,Seed,H ,Fo ,A ,,,C3,N 
Bridelia retusa,Phyllanthaceae,Seed,W ,T ,,B ,E ,C3,N 
Bromus fasciculatus,Gramineae,Seed,H ,G ,A ,,,C3,N 
Bromus hordeaceus,Gramineae,Seed,H ,G ,A ,,,C3,N 
Bromus inermis,Gramineae,Seed,H ,G ,P ,,,C3,N 
Bromus japonicus,Gramineae,Seed,H ,G ,A ,,,C3,N 
Bromus rubens,Gramineae,Seed,H ,G ,A ,,,C3,N 
